PROGRAM_ID,TITLE,Generated_Tags,Actual_Tags,Matching_Tags_Count
tt0033045,The Shop Around the Corner,['comedy' 'romantic' 'entertaining' 'flashback'],['romantic'],1
tt1937113,Call of Duty: Modern Warfare 3,"['violence' 'flashback' 'murder' 'action' 'suspenseful' 'comedy' 'humor'
 'entertaining' 'revenge' 'boring']",['good versus evil'],0
tt0102007,The Haunted,['paranormal' 'horror'],['haunting' 'horror' 'paranormal'],2
tt2005374,The Frozen Ground,['murder' 'violence'],['dramatic' 'murder'],1
tt1411238,No Strings Attached,['romantic' 'pornographic'],['adult comedy' 'boring' 'cute' 'entertaining' 'flashback' 'romantic'],1
tt0053559,13 Ghosts,['suspenseful' 'haunting' 'paranormal' 'flashback' 'horror' 'gothic'],['murder' 'revenge'],0
tt0350774,Dead & Breakfast,['murder' 'paranormal'],['cult' 'flashback' 'murder'],1
tt0120102,Seven Years in Tibet,['murder' 'avant garde' 'satire'],['historical' 'violence'],0
tt0093603,Nayakan,['murder'],['cruelty' 'murder' 'revenge' 'romantic' 'violence'],1
tt0373283,Saints and Soldiers,['murder'],['flashback' 'murder'],1
tt0298814,The Core,['sci-fi' 'suspenseful'],['psychedelic'],0
tt0902272,Justice League: The New Frontier,['psychedelic'],['violence'],0
tt1194173,The Bourne Legacy,['murder' 'violence' 'flashback' 'suspenseful'],['action' 'brainwashing' 'flashback' 'murder' 'violence'],3
tt0488085,Big Nothing,['murder' 'neo noir' 'comedy' 'mystery' 'suspenseful' 'flashback'],"['comedy' 'cult' 'dark' 'entertaining' 'murder' 'neo noir' 'sadist'
 'violence']",3
tt2402105,Dom Hemingway,"['murder' 'violence' 'revenge' 'flashback' 'cult' 'comedy' 'action'
 'entertaining' 'romantic']",['revenge'],1
tt0880648,Shuttle,['murder' 'violence' 'suspenseful' 'neo noir' 'flashback'],['murder'],1
tt0072890,Dog Day Afternoon,['murder' 'violence' 'suspenseful' 'neo noir' 'flashback'],['atmospheric' 'comedy'],0
tt0034398,The Wolf Man,['murder'],['cult' 'good versus evil' 'gothic' 'haunting' 'murder'],1
tt0310793,Bowling for Columbine,"['murder' 'violence' 'flashback' 'historical' 'neo noir' 'satire'
 'revenge' 'realism']",['brainwashing' 'murder' 'satire' 'stupid' 'violence'],3
tt1270479,The Mummy: Tomb of the Dragon Emperor,"['violence' 'revenge' 'comedy' 'murder' 'flashback' 'humor' 'cult'
 'entertaining' 'good versus evil' 'action']",['suspenseful' 'violence'],1
tt1551632,Rizzoli & Isles,['flashback' 'murder' 'melodrama'],['murder'],1
tt0107289,Jungledyret,['romantic'],['insanity' 'psychedelic'],0
tt1029231,Krrish 3,['good versus evil' 'violence' 'paranormal' 'horror' 'revenge'],['good versus evil' 'romantic'],1
tt3032476,Better Call Saul,['murder' 'flashback' 'violence' 'revenge'],['comedy'],0
tt0372183,The Bourne Supremacy,['murder' 'flashback' 'mystery' 'suspenseful' 'action' 'violence' 'boring'],['action' 'boring' 'flashback' 'revenge' 'suspenseful' 'violence'],5
tt0054850,Ercole al centro della Terra,['violence' 'good versus evil' 'cult' 'fantasy' 'action'],['good versus evil' 'violence'],2
tt2739708,Assassin's Creed IV: Black Flag,['murder' 'flashback' 'historical' 'action'],['action'],1
tt0058372,Moonshine Mountain,['murder' 'revenge'],['murder'],1
tt1418377,"I, Frankenstein",['paranormal' 'good versus evil' 'violence' 'murder'],"['flashback' 'good versus evil' 'murder' 'paranormal' 'psychedelic'
 'revenge' 'violence']",4
tt0120207,Steel,"['violence' 'murder' 'action' 'revenge' 'cult' 'good versus evil' 'humor'
 'comedy' 'flashback' 'entertaining']",['blaxploitation' 'violence'],1
tt0080684,Star Wars: Episode V - The Empire Strikes Back,['good versus evil' 'cult' 'violence' 'action' 'fantasy'],"['action' 'cult' 'dark' 'fantasy' 'good versus evil' 'mystery' 'tragedy'
 'violence']",5
tt0057581,The Thrill of It All,['comedy'],['comedy'],1
tt0110877,Il postino,['flashback' 'storytelling'],['boring'],0
tt3076658,Creed,['violence' 'flashback' 'revenge' 'romantic' 'murder'],['flashback'],1
tt4258698,Southside with You,['dramatic' 'inspiring' 'romantic'],['historical' 'romantic'],1
tt5814914,GirlFight: inVite,['violence' 'inspiring' 'historical'],"['cult' 'good versus evil' 'gothic' 'murder' 'plot twist' 'realism'
 'sadist' 'sci-fi' 'violence']",1
tt0066516,Valerie a týden divu,['cult' 'gothic' 'fantasy'],['allegory' 'cult' 'fantasy' 'flashback' 'psychedelic' 'sadist'],2
tt0133985,A Murder of Crows,['murder' 'flashback' 'neo noir' 'mystery' 'comedy'],['murder'],1
tt0131624,UFO: Target Earth,['flashback'],['psychedelic'],0
tt0055499,Såsom i en spegel,"['romantic' 'atmospheric' 'flashback' 'insanity' 'psychedelic'
 'suspenseful' 'psychological' 'mystery' 'storytelling' 'murder']",['atmospheric' 'bleak' 'insanity'],2
tt0995039,Ghost Town,['violence' 'revenge'],['entertaining'],0
tt0146316,Lara Croft: Tomb Raider,['paranormal' 'cult' 'violence' 'horror' 'stupid'],['action' 'boring' 'cult' 'murder'],1
tt0097332,Far from Home,['cult' 'murder'],['murder' 'prank' 'romantic'],1
tt0061802,Ich war neunzehn,['historical'],['autobiographical' 'murder'],0
tt0090866,Combat Shock,['violence' 'murder' 'flashback' 'neo noir' 'revenge'],['cult' 'flashback' 'murder' 'tragedy' 'violence'],3
tt0349825,Miracle,['cute'],['inspiring'],0
tt0253754,Star Trek: Nemesis,['cult' 'violence' 'revenge' 'murder' 'good versus evil'],['flashback' 'violence'],1
tt1284575,Bad Teacher,['cult' 'comedy' 'romantic' 'revenge'],['absurd' 'adult comedy' 'comedy' 'intrigue' 'revenge' 'romantic'],3
tt0318374,The Cooler,['dramatic' 'romantic' 'violence' 'entertaining'],['murder' 'psychedelic' 'storytelling' 'violence'],1
tt2870756,Magic in the Moonlight,['romantic'],['cute' 'philosophical' 'plot twist' 'romantic'],1
tt0339294,Leprechaun: Back 2 tha Hood,['violence' 'murder' 'cult' 'action' 'good versus evil' 'revenge'],['cult' 'paranormal'],1
tt0404496,Thralls,['violence' 'murder'],['flashback' 'murder' 'pornographic' 'violence'],2
tt0070735,The Sting,"['comedy' 'flashback' 'violence' 'neo noir' 'dramatic' 'revenge'
 'romantic' 'entertaining' 'boring' 'humor']","['boring' 'clever' 'cult' 'depressing' 'entertaining' 'inspiring' 'murder'
 'plot twist' 'revenge']",3
tt1139328,The Ghost Writer,['murder'],"['atmospheric' 'boring' 'dramatic' 'intrigue' 'murder' 'mystery'
 'suspenseful']",1
tt0306047,Scary Movie 3,['violence'],"['adult comedy' 'bleak' 'comedy' 'cult' 'horror' 'humor' 'paranormal'
 'stupid']",0
tt0062794,Charly,"['dramatic' 'boring' 'romantic' 'sentimental' 'flashback' 'inspiring'
 'realism']",['philosophical' 'prank' 'psychological' 'tragedy'],0
tt1334512,Arthur,['romantic' 'flashback' 'entertaining'],['entertaining' 'stupid'],1
tt0072431,Young Frankenstein,['gothic' 'cult' 'insanity' 'murder'],['comedy' 'cult' 'gothic' 'humor' 'satire'],2
tt0120894,The Wisdom of Crocodiles,['flashback' 'murder' 'romantic' 'violence'],['cult' 'murder' 'romantic' 'storytelling'],2
tt0080120,The Warriors,"['murder' 'violence' 'flashback' 'neo noir' 'dramatic' 'revenge' 'boring'
 'realism' 'suspenseful' 'romantic']",['cult' 'murder' 'realism' 'revenge' 'suspenseful' 'violence'],5
tt0058946,La battaglia di Algeri,['violence' 'murder' 'flashback' 'revenge'],"['avant garde' 'cult' 'flashback' 'historical' 'murder' 'realism'
 'revenge' 'sadist' 'violence']",4
tt1981115,Thor: The Dark World,['good versus evil' 'violence'],"['flashback' 'good versus evil' 'humor' 'murder' 'psychedelic' 'revenge'
 'violence']",2
