imdb_id,title,award_label
tt0070735,The Sting,Academy Award for Best Production Design
tt0070735,The Sting,Academy Award for Best Film Editing
tt0070735,The Sting,Academy Award for Best Director
tt0070735,The Sting,"Academy Award for Best Writing, Original Screenplay"
tt0070735,The Sting,Academy Award for Best Picture
tt0070735,The Sting,Academy Award for Best Costume Design
tt0120586,American History X,Satellite Award for Best Actor – Motion Picture
tt0298228,Whale Rider,Sundance World Cinema Audience Award
tt0070735,The Sting,National Board of Review Award for Best Film
tt0070735,The Sting,National Board of Review: Top Ten Films
tt0070735,The Sting,Academy Award for Best Original Song Score
tt0408236,Sweeney Todd: The Demon Barber of Fleet Street,Academy Award for Best Production Design
tt0408236,Sweeney Todd: The Demon Barber of Fleet Street,National Board of Review: Top Ten Films
tt0076759,Star Wars: Episode IV – A New Hope,Academy Award for Best Production Design
tt0076759,Star Wars: Episode IV – A New Hope,Academy Award for Best Film Editing
tt0076759,Star Wars: Episode IV – A New Hope,Saturn Award for Best Special Effects
tt0076759,Star Wars: Episode IV – A New Hope,Academy Award for Best Costume Design
tt0338013,Eternal Sunshine of the Spotless Mind,"Academy Award for Best Writing, Original Screenplay"
tt0338013,Eternal Sunshine of the Spotless Mind,Saturn Award for Best Science Fiction Film
tt0076759,Star Wars: Episode IV – A New Hope,Academy Award for Best Visual Effects
tt0076759,Star Wars: Episode IV – A New Hope,Academy Award for Best Original Score
tt0051201,Witness for the Prosecution,Golden Globe Award for Best Supporting Actress – Motion Picture
tt0076759,Star Wars: Episode IV – A New Hope,BAFTA Award for Best Original Music
tt0076759,Star Wars: Episode IV – A New Hope,Academy Award for Best Sound
tt0078748,Alien,Academy Award for Best Visual Effects
tt0078748,Alien,BAFTA Award for Best Sound
tt0078748,Alien,Saturn Award for Best Science Fiction Film
tt0055928,Dr. No,Golden Globe Award for New Star of the Year – Actress
tt0078748,Alien,Hugo Award for Best Dramatic Presentation
tt0076759,Star Wars: Episode IV – A New Hope,Saturn Award for Best Costume
tt0076759,Star Wars: Episode IV – A New Hope,Saturn Award for Best Writing
tt0076759,Star Wars: Episode IV – A New Hope,Saturn Award for Best Science Fiction Film
tt0078748,Alien,Saturn Award for Best Supporting Actress
tt0078748,Alien,Saturn Award for Best Director
tt0057012,Dr. Strangelove,Bodil Award for Best Non-American Film
tt0057012,Dr. Strangelove,Hugo Award for Best Dramatic Presentation
tt0057012,Dr. Strangelove,United Nations Awards
tt0057012,Dr. Strangelove,BAFTA Award for Best Film
tt0057012,Dr. Strangelove,New York Film Critics Circle Award for Best Director
